ID,URI,DESC_CLASIFICACION,COD_BARRIO,BARRIO,COD_DISTRITO,DISTRITO,ESTADO,COORD_GIS_X,COORD_GIS_Y,SISTEMA_COORD,LATITUD,LONGITUD,TIPO_VIA,NOM_VIA,NUM_VIA,COD_POSTAL,DIRECCION_AUX,NDP,FECHA_INSTALACION,CODIGO_INTERNO,CONTRATO_COD,MODELO
7182449,https://smartcity.linkeddata.es/Group10/resource/Aparcamiento/7182449,APARCABICICLETAS,21,IMPERIAL,2,ARGANZUELA,OPERATIVO,438964.65,4473921.61,ETRS89,40.41367917,-3.719394,CALLE,JUAN DUQUE,1,28005,28005,20007142,DESCONOCIDO,DESCONOCIDO,MU21,MU-51
7182460,https://smartcity.linkeddata.es/Group10/resource/Aparcamiento/7182460,APARCABICICLETAS,21,IMPERIAL,2,ARGANZUELA,OPERATIVO,438809.37,4473492.73,ETRS89,40.40980422,-3.72118283,PASEO,VIRGEN DEL PUERTO,43,28005,DESCONOCIDO,11008057,DESCONOCIDO,DESCONOCIDO,MU21,MU-51
7182545,https://smartcity.linkeddata.es/Group10/resource/Aparcamiento/7182545,APARCABICICLETAS,159,COSTILLARES,15,CIUDAD LINEAL,OPERATIVO,443483.52,4481288.46,ETRS89,40.4803625,-3.66679137,CALLE,ARTURO SORIA,330,28033,DESCONOCIDO,11112691,2020-10-19T00:00:00Z,DESCONOCIDO,MU21,MU-51
7182549,https://smartcity.linkeddata.es/Group10/resource/Aparcamiento/7182549,APARCABICICLETAS,159,COSTILLARES,15,CIUDAD LINEAL,OPERATIVO,443486.69,4481292.17,ETRS89,40.48039614,-3.66675431,CALLE,ARTURO SORIA,330,28033,DESCONOCIDO,11112691,2020-10-19T00:00:00Z,DESCONOCIDO,MU21,MU-51
7182626,https://smartcity.linkeddata.es/Group10/resource/Aparcamiento/7182626,APARCABICICLETAS,27,ATOCHA,2,ARGANZUELA,OPERATIVO,442509.33,4471857.41,ETRS89,40.39533613,-3.67743098,CALLE,OMBU,3,28045,28045,20111980,2020-10-15T00:00:00Z,DESCONOCIDO,MU21,MU-51
7182670,https://smartcity.linkeddata.es/Group10/resource/Aparcamiento/7182670,APARCABICICLETAS,36,NIÑO JESUS,3,RETIRO,OPERATIVO,443181.53,4474017.72,ETRS89,40.41484353,-3.66970361,CALLE,DOCTOR ESQUERDO,107,28007,DESCONOCIDO,11012040,2020-10-16T00:00:00Z,DESCONOCIDO,MU21,MU-51
7182672,https://smartcity.linkeddata.es/Group10/resource/Aparcamiento/7182672,APARCABICICLETAS,36,NIÑO JESUS,3,RETIRO,OPERATIVO,443181.44,4474019.07,ETRS89,40.41485568,-3.66970479,CALLE,DOCTOR ESQUERDO,62,28007,DESCONOCIDO,11013455,2020-10-16T00:00:00Z,DESCONOCIDO,MU21,MU-51
7182673,https://smartcity.linkeddata.es/Group10/resource/Aparcamiento/7182673,APARCABICICLETAS,36,NIÑO JESUS,3,RETIRO,OPERATIVO,443181.53,4474015.52,ETRS89,40.41482371,-3.66970341,CALLE,DOCTOR ESQUERDO,107,28007,DESCONOCIDO,11012040,2020-10-16T00:00:00Z,DESCONOCIDO,MU21,MU-51
7182674,https://smartcity.linkeddata.es/Group10/resource/Aparcamiento/7182674,APARCABICICLETAS,36,NIÑO JESUS,3,RETIRO,OPERATIVO,443181.53,4474016.67,ETRS89,40.41483407,-3.66970352,CALLE,DOCTOR ESQUERDO,107,28007,DESCONOCIDO,11012040,2020-10-16T00:00:00Z,DESCONOCIDO,MU21,MU-51
7184005,https://smartcity.linkeddata.es/Group10/resource/Aparcamiento/7184005,APARCABICICLETAS,87,MIRASIERRA,8,FUENCARRAL - EL PARDO,OPERATIVO,439303.53,4482513.01,ETRS89,40.49109865,-3.71622135,AVENIDA,VENTISQUERO DE LA CONDESA,28,28035,DESCONOCIDO,20088254,2020-10-22T00:00:00Z,DESCONOCIDO,MU21,MU-51
