ANO,MES,DIA,PROVINCIA,MUNICIPIO,NUMERO_MUNICIPIO,NOMBRE_MUNICIPIO,same_as_wikidata_madrid,ESTACION,UBICACION,same_as_wikidata_madrid_landmarks,MAGNITUD,PUNTO_MUESTREO,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24
2024,10,06,28,079,28079,Madrid,http://wikidata.org/entity/Q2807,58,Fuencarral-El Pardo,http://wikidata.org/entity/Q656196,7,28079058_7_8,4,4,4,4,4,4,4,4,4,4,5,4,4,5,5,4,4,5,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,28079,Madrid,http://wikidata.org/entity/Q2807,58,Fuencarral-El Pardo,http://wikidata.org/entity/Q656196,8,28079058_8_8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,28079,Madrid,http://wikidata.org/entity/Q2807,58,Fuencarral-El Pardo,http://wikidata.org/entity/Q656196,12,28079058_12_8,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,7,8,8,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,28079,Madrid,http://wikidata.org/entity/Q2807,58,Fuencarral-El Pardo,http://wikidata.org/entity/Q656196,14,28079058_14_6,47,42,38,33,30,31,29,27,27,28,28,29,31,35,39,42,42,43,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,28079,Madrid,http://wikidata.org/entity/Q2807,59,Juan Carlos I Park,http://wikidata.org/entity/Q1583169,7,28079059_7_8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,28079,Madrid,http://wikidata.org/entity/Q2807,59,Juan Carlos I Park,http://wikidata.org/entity/Q1583169,8,28079059_8_8,8,6,4,4,3,4,5,6,7,7,6,6,4,4,5,4,4,5,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,28079,Madrid,http://wikidata.org/entity/Q2807,59,Juan Carlos I Park,http://wikidata.org/entity/Q1583169,12,28079059_12_8,9,7,6,5,5,6,6,7,9,8,8,7,6,6,6,5,5,6,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,28079,Madrid,http://wikidata.org/entity/Q2807,59,Juan Carlos I Park,http://wikidata.org/entity/Q1583169,14,28079059_14_6,43,40,35,31,30,30,27,25,24,25,24,24,29,34,35,37,39,39,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,28079,Madrid,http://wikidata.org/entity/Q2807,60,Tres Olivos,http://wikidata.org/entity/Q5795544,7,28079060_7_8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,28079,Madrid,http://wikidata.org/entity/Q2807,60,Tres Olivos,http://wikidata.org/entity/Q5795544,8,28079060_8_8,7,5,4,3,2,2,3,3,4,4,5,4,5,4,4,3,3,4,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,28079,Madrid,http://wikidata.org/entity/Q2807,60,Tres Olivos,http://wikidata.org/entity/Q5795544,10,28079060_10_47,14,18,23,51,75,80,78,111,117,99,93,92,94,82,79,75,68,62,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
