Distrito;Subepígrafe;Apartado;Número de archivo;Denominación;Situación
LATINA                                                      ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;OTRAS CONCESIONES Y AUTORIZACIONES                                                                  ;12.099;CENTRO DE TRANSFORMACIÓN  ELÉCTRICA                                                                                                                                                                       ; LATINA
LATINA                                                      ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;OTRAS CONCESIONES Y AUTORIZACIONES                                                                  ;12.100;CENTRO DE TRANSFORMACIÓN  ELÉCTRICA                                                                                                                                                                       ; LATINA
LATINA                                                      ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;HUERTOS URBANOS                                                                                     ;12.123;HUERTO COMUNITARIO BATÁN                                                                                                                                                                                  ; LATINA
LATINA                                                      ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;HUERTOS URBANOS                                                                                     ;12.124;HUERTO COMUNITARIO LUCERO                                                                                                                                                                                 ; LATINA
LATINA                                                      ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;HUERTOS URBANOS                                                                                     ;12.125;HUERTO COMUNITARIO HUERTA SOLIDARIA RSP                                                                                                                                                                   ; LATINA
LATINA                                                      ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;HUERTOS URBANOS                                                                                     ;12.126;HUERTO COMUNITARIO LAS CRUCES                                                                                                                                                                             ; LATINA
CARABANCHEL                                                 ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;INSTALACIONES DE RESTAURACIÓN                                                                       ;12016;QUIOSCO DE BEBIDAS Nº 5                                                                                                                                                                                   ; CARABANCHEL
CARABANCHEL                                                 ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;INSTALACIONES DE RESTAURACIÓN                                                                       ;12030;QUIOSCO DE BEBIDAS Nº 4                                                                                                                                                                                   ; CARABANCHEL
CARABANCHEL                                                 ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;INSTALACIONES DE RESTAURACIÓN                                                                       ;12038;BAR-MERENDERO                                                                                                                                                                                             ; CARABANCHEL
CARABANCHEL                                                 ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;INSTALACIONES DE RESTAURACIÓN                                                                       ;12055;MADRID RÍO-GRUPO SUR 1 (CAFETERÍA PASAJE DE MONTSERRAT).                                                                                                                                                  ;MARGEN DERECHA DEL RÍO MANZANARES, FRENTE A LA AVENIDA MANZANARES ALNORTE DEL PASAJE DE MONTSERRAT Y NUEVA PASARELA SINGULAR PEATONAL. CARABANCHEL
CARABANCHEL                                                 ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;INSTALACIONES DE RESTAURACIÓN                                                                       ;12061;QUIOSCO DE BEBIDAS                                                                                                                                                                                        ; CARABANCHEL
CARABANCHEL                                                 ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;INSTALACIONES DE RESTAURACIÓN                                                                       ;12.088;MADRID RÍO CAFÉ TOLEDO                                                                                                                                                                                    ; CARABANCHEL
CARABANCHEL                                                 ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;INSTALACIONES DE RESTAURACIÓN                                                                       ;12.093;MADRID RÍO CAFÉ MONTSERRAT                                                                                                                                                                                ; CARABANCHEL
CARABANCHEL                                                 ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;INSTALACIONES DEPORTIVAS                                                                            ;13.020;INSTALACIÓN DEPORTIVA MUNICIPAL DE PÁDEL                                                                                                                                                                  ; CARABANCHEL
CARABANCHEL                                                 ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;HUERTOS URBANOS                                                                                     ;12.127;HUERTO COMUNITARIO EL TOBOSO                                                                                                                                                                              ; CARABANCHEL
